Key,ShortKey,Source,Row,Module,Field,Character,CN,JA
AvgDialog_10130_Content_6,adnR,avg序章_AvgDialog_C_M.csv,22,AvgDialog,Content,拉蒙娜,他可不会饶过你这个百年一遇的守密人。,彼はあなたを……百年に一度の守秘者を、絶対に放っておかないでしょうから。
AvgDialog_10130_Content_7,adnS,avg序章_AvgDialog_C_M.csv,23,AvgDialog,Content,拉蒙娜,希望你的@1 外勤课题不像微积分课程一样依赖我这个<Blue:助手>。,あなたの@1外勤任務では微積分の授業のときみたいに<Blue:助手>の私を頼らないことね。
AvgDialog_10130_Content_8,adnT,avg序章_AvgDialog_C_M.csv,24,AvgDialog,Content,,没想到会参加自己的葬礼。,……自分の葬式に出るとは思わなかったよ。
AvgDialog_10130_Content_9,adnU,avg序章_AvgDialog_C_M.csv,25,AvgDialog,Content,拉蒙娜,接纳死亡，让我们不再畏惧死亡。,"死を受け入れることで、死への恐怖をなくす。
そういう儀式なのよ。"
AvgDialog_10130_Content_10,adnz,avg序章_AvgDialog_C_M.csv,26,AvgDialog,Content,拉蒙娜,只要名字还镌刻在碑铭上，我们的存在就不会被@2抹去。,名前が墓石に刻まれている限り、私たちの存在が@2に消されることはないわ。
AvgDialog_10130_Content_11,adnA,avg序章_AvgDialog_C_M.csv,27,AvgDialog,Content,,温和的声音夹杂着扭曲的嘶鸣在脑海中回荡。,ラモンナの穏やかな声に、不快な雑音が混じり、頭の中で反響するーー
AvgDialog_10130_Content_12,adnB,avg序章_AvgDialog_C_M.csv,28,AvgDialog,Content,拉蒙娜,我将作为你的助手，陪你抵达这条道路的终点……<Yellow:愿银钥指引前路。>,"あなたの助手として、最後までお供するわ……
<Yellow:銀の鍵の導きがあらんことを。>"
AvgDialog_10130_Content_13,adnC,avg序章_AvgDialog_C_M.csv,29,AvgDialog,Content,拉蒙娜,"还好吗，%player%？
从刚才开始，你的脸色就不太对劲。需要我送你去医务室吗？","……ねぇ、大丈夫？ %player%？
さっきから顔色がよくないわ。医務室へ行く？"
AvgDialog_10130_Content_14,adnD,avg序章_AvgDialog_C_M.csv,30,AvgDialog,Content,,她清冽的声音让头脑清晰了些许，眩晕的感觉也逐渐消退。,"彼女の済んだ声が、眩暈を和らげてくれた。
少しずつ頭が冴えていく。"
AvgDialog_10130_Content_15,adnE,avg序章_AvgDialog_C_M.csv,31,AvgDialog,Content,玩家,没事，只是一点头晕，已经缓解了。,"すこし眩暈がね。
もう大丈夫。"
AvgDialog_10130_Content_16,adnF,avg序章_AvgDialog_C_M.csv,32,AvgDialog,Content,拉蒙娜,"唔，保险起见，还是和我链接吧。
作为助手，也作为你的搭档，时刻确认你的状态可是我的责任。",そう……でも念のため、私とリンクしましょう。助手として、そしてパートナーとして、あなたの体調管理は私の役目だから。
AvgDialog_10130_Content_17,adnG,avg序章_AvgDialog_C_M.csv,33,AvgDialog,Content,玩家,现在？就在这里？,今？ ここで？
AvgDialog_10130_Content_18,adnH,avg序章_AvgDialog_C_M.csv,34,AvgDialog,Content,拉蒙娜,稍微提前了一点点，不过没关系，不是吗？,"少し早いだけじゃない。
大丈夫よね？"
AvgDialog_10130_Content_19,adnI,avg序章_AvgDialog_C_M.csv,35,AvgDialog,Content,拉蒙娜,从一年前开始，我就在期待今天了。,一年前から、今日という日を楽しみにしていたのよ。
AvgDialog_10130_Content_21,adnL,avg序章_AvgDialog_C_M.csv,37,AvgDialog,Content,,细雨将指尖濡湿，微弱的电流穿透手套，顺着你的皮肤和她的指尖隐秘流淌。,"優しい雨が指先を濡らす。
手袋越しに、微かな電流があなたと彼女の肌をそっと流れていった。"
AvgDialog_10130_Content_22,adnM,avg序章_AvgDialog_C_M.csv,38,AvgDialog,Content,,莫名的情绪顺着电流触动了你的神经，那是欣喜、雀跃、不安和……,"電流とともに、さまざまな感情が込み上げてくる。
喜び、期待、不安、それに……"
AvgDialog_10130_Content_23,adnN,avg序章_AvgDialog_C_M.csv,39,AvgDialog,Content,,……<Yellow:希望>。,……<Yellow:希望>。
AvgDialog_10127_Content_1,adnf,avg序章_AvgDialog_C_M.csv,40,AvgDialog,Content,拉蒙娜,多么温暖……精神链接非常稳定，你的精神与生命力从未如今天一般强韧。,"なんて温かいの……精神リンクはすごく安定しているわ。
あなたの精神力と生命力がこんなに強かったことはないわよ。"
AvgDialog_10127_Content_2,adng,avg序章_AvgDialog_C_M.csv,41,AvgDialog,Content,拉蒙娜,"你可不能轻易倒下哦，<Yellow:世界唯一>的守密人。
我们还指望靠你来调查和记录所有被融蚀抹消的历史呢。","<Yellow:世界でただ一人>の守秘者なんだから、簡単には倒れないでね。
あなたには融触に消された歴史を調査、記録する使命があるんだから。"
AvgDialog_10127_Content_3,adnh,avg序章_AvgDialog_C_M.csv,42,AvgDialog,Content,,眼底的担忧散去，拉蒙娜半开玩笑地在嘴角勾起一个令人安心的弧度。,ラモンナは冗談めかしてそう言うと、瞳に浮かんでいた不安を消し去るように、柔らかな笑みを浮かべた。
AvgDialog_10127_Content_4,adni,avg序章_AvgDialog_C_M.csv,43,AvgDialog,Content,,淅沥的雨声填满天地。,しとしと降り続く雨の音が世界に満ちている。
AvgDialog_10127_Content_5,adnj,avg序章_AvgDialog_C_M.csv,44,AvgDialog,Content,,<Red:不安、疼痛、窒息>却在某滴雨珠落下时，填满了胸口。,ぽとりと、雨粒が落ちた、その瞬間、<Red:不安、傷み、息苦しさ>が胸いっぱいに押し寄せた。
AvgDialog_10127_Content_7,adnl,avg序章_AvgDialog_C_M.csv,46,AvgDialog,Content,玩家,拉蒙娜！,ラモンナ！
AvgDialog_10127_Content_9,adnn,avg序章_AvgDialog_C_M.csv,48,AvgDialog,Content,,钟声鸣响。,鐘が鳴るーー
AvgDialog_10139_Content_1,adpG,avg序章_AvgDialog_C_M.csv,49,AvgDialog,Content,拉蒙娜战损版,"谢谢你，守密人，你又救了我一次。
如果不是这链接，我现在大概命悬一线了。","ありがとう、守秘者。また助けてくれたのね。
このリンクがなければ、危なかったわ。"
AvgDialog_10139_Content_2,adpH,avg序章_AvgDialog_C_M.csv,50,AvgDialog,Content,玩家,现在可不是说这些的时候——,今はそれどころじゃーー
AvgDialog_10139_Content_3,adpI,avg序章_AvgDialog_C_M.csv,51,AvgDialog,Content,,"交谈间，漆黑的异变已在你们身边蔓延。
惨叫声连绵不绝，昨天课堂上的同学不断化为漆黑黏液。","話している間にも、黒い異変が周囲に広がっていた。
あちこちから聞こえる悲鳴。
昨日の授業で一緒だったクラスメイトたちが、次々と黒い粘液に変わっていく。"
AvgDialog_10139_Content_4,adpJ,avg序章_AvgDialog_C_M.csv,52,AvgDialog,Content,拉蒙娜战损版,我已经通过链接向你共享了银钥监测到的敌方<Yellow:意图>，小心，它要发动攻击了！,"シルバーキーが探知した敵の<Yellow:行動予測>を、リンクを通じて共有したわ。
気をつけて。"
AvgDialog_10120_Content_1,adle,avg序章_AvgDialog_C_M.csv,53,AvgDialog,Content,拉蒙娜战损版,"保护好你手中的指令仪，小心融蚀污染。
在接下来的战斗中，它不可或缺。","指令用デバイスの融触汚染に注意して！
この先の戦いでは、それが必要になるわ。"
AvgDialog_10120_Content_2,adlf,avg序章_AvgDialog_C_M.csv,54,AvgDialog,Content,拉蒙娜战损版,按住<Yellow:指令卡>，拖动到<Yellow:中央指令区>，向我发出行动指令。,<Yellow:指令カード>を押し続けて、<Yellow:画面中央>にドラッグするの。それで私に戦闘命令を出せるわ。
AvgDialog_10138_Content_1,adpE,avg序章_AvgDialog_C_M.csv,55,AvgDialog,Content,拉蒙娜战损版,保持警惕，它要发动攻击了，这伤害对现在的我来说是致命的。,"警戒を続けて。
この攻撃を受ければ致命傷になってしまうわね……"
AvgDialog_10138_Content_2,adpF,avg序章_AvgDialog_C_M.csv,56,AvgDialog,Content,拉蒙娜战损版,相信你会做出理智的选择。这回合的行动，就选择<Yellow:「防御」>吧。,"冷静に判断するのよ。
このターンは<Yellow:「防御」>を選んで。"
AvgDialog_10122_Content_1,adlj,avg序章_AvgDialog_C_M.csv,57,AvgDialog,Content,拉蒙娜战损版,拖延下去对我们不利，必须速战速决。,"これ以上引き延ばすと不利ね。
速攻で決める必要があるわ。"
AvgDialog_10122_Content_2,adlk,avg序章_AvgDialog_C_M.csv,58,AvgDialog,Content,拉蒙娜战损版,"这是我自幼修习的<Yellow:「女王之剑」>。
就用这一击终结它吧！","これは私が幼い頃から磨いてきた<Yellow:「女王の剣」>。
この一撃で終わらせましょう！"
AvgDialog_10140_Content_1,adpK,avg序章_AvgDialog_C_M.csv,59,AvgDialog,Content,拉蒙娜战损版,"感觉到我身上流转的狂气了吗，守密人？
多亏有你的精神力压制，否则它将会让我陷入和萝坦一样的疯狂。","守秘者、私の中で狂気が渦巻いているのを感じる？
あなたの精神力が抑え込んでくれるおかげで、ロータンのように狂気に陥らないで済んでいるの。"
AvgDialog_10140_Content_2,adpL,avg序章_AvgDialog_C_M.csv,60,AvgDialog,Content,拉蒙娜战损版,不过现在，它能够为我们所用。,でも今は、この狂気を私たちのために使える。
AvgDialog_10140_Content_3,adpM,avg序章_AvgDialog_C_M.csv,61,AvgDialog,Content,拉蒙娜战损版,看向狂气流转的方向……对，看向指令仪的<Blue:左上角>。,狂気が流れる方向を……そう<Blue:左上>を見て。
AvgDialog_10140_Content_4,adpN,avg序章_AvgDialog_C_M.csv,62,AvgDialog,Content,拉蒙娜战损版,"释放狂气爆发，贯彻我的<Yellow:「世界演绎法」>吧！
在对抗融蚀的过程中，<Yellow:只有合理应对攻势，才能谋得最大的生机>。","狂気解放を発動し、私の<Yellow:「世界演繹法>を選んで！
融触との戦いでは、<Yellow:攻撃にうまく対応することで勝機をつかめる>わ。"
AvgDialog_10141_Content_1,adpO,avg序章_AvgDialog_C_M.csv,63,AvgDialog,Content,玩家,糟糕，萝坦将要释放<Yellow:狂气爆发>……只靠这些指令的话……,"まずい、ロータンが<Yellow:狂気解放>を発動しようとしている……
この命令だけじゃ……"
AvgDialog_10141_Content_2,adpP,avg序章_AvgDialog_C_M.csv,64,AvgDialog,Content,拉蒙娜战损版,银钥匙与你精神相连，你的强烈感悟，乃至回忆，都能让它震荡出别具一格的力量。,シルバーキーはあなたの精神と繋がっていて、あなたの感情や記憶をもとに、特別な力を生み出すの。
AvgDialog_10141_Content_3,adpQ,avg序章_AvgDialog_C_M.csv,65,AvgDialog,Content,拉蒙娜战损版,快看指令仪的<Blue:左下角>！银钥之能已经充盈，<Yellow:钥令>已经就绪。,<Blue:左下>を見て！シルバーキーの力が満ちて、<Yellow:キーオーダー>の準備が整っているわ。
AvgDialog_10141_Content_4,adpR,avg序章_AvgDialog_C_M.csv,66,AvgDialog,Content,拉蒙娜战损版,握紧银钥匙，唱诵密文……释放<Yellow:钥令>，为我争取到更多的战术空间！,"シルバーキーを使って呪文を唱えるの……
<Yellow:キーオーダー>を発動して！"
AvgDialog_10136_Content_1,adpu,avg序章_AvgDialog_C_M.csv,67,AvgDialog,Content,拉蒙娜战损版,这是……萝坦引以为傲的的<Yellow:「桀骜之刃」>，会瞬间发起多段攻击！,"これは……ロータンの<Yellow:「傲慢の刃」>！
瞬時に多段攻撃を仕掛けてくるわ！"
AvgDialog_10136_Content_2,adpv,avg序章_AvgDialog_C_M.csv,68,AvgDialog,Content,拉蒙娜战损版,应对这一招……用<Yellow:「攻势推演」>避开关键弱点，这样更稳妥。,"この場合は……
<Yellow:「攻勢演習」>で弱点をつくのがよさそうね。"
AvgDialog_10124_Content_1,adme,avg序章_AvgDialog_C_M.csv,69,AvgDialog,Content,拉蒙娜战损版,看来你已经找到状态了。接下来指挥就交给你了，守密人！,"そろそろ調子が出てきたんじゃない？
次の指揮はあなたに任せるわ！"
AvgDialog_10134_Content_1,adpa,avg序章_AvgDialog_C_M.csv,70,AvgDialog,Content,萝坦,喂，你这家伙，快点，让我释放<Yellow:「桀骜之刃」>。,"おい、急げ！
我に<Yellow:「傲慢の刃」>を使わせろ！"
AvgDialog_10134_Content_2,adpb,avg序章_AvgDialog_C_M.csv,71,AvgDialog,Content,朵尔唤醒体,"慢着，守密人。
先释放「打击」，激发萝坦的血性，能够降低<Yellow:「桀骜之刃」>的算力消耗。","待って。その前に「攻撃」を使ってみて。
そうすれば<Yellow:「傲慢の刃」>の行動力消費を減らせるわ。"
AvgDialog_10134_Content_3,adpc,avg序章_AvgDialog_C_M.csv,72,AvgDialog,Content,朵尔唤醒体,"合适的指令组合能让我们的攻击事半功倍。
战术就在指令中，守密人。好好想想。","適切な指令の組み合わせで攻撃の効率が上がるわ。
戦術の要は指令にあるの。よく考えて。"
AvgDialog_10128_Content_1,adno,avg序章_AvgDialog_C_M.csv,73,AvgDialog,Content,拉蒙娜战损版,小心，对方进入强攻态势了！,気をつけてーー敵がさらに強力な攻撃を仕掛けてくるわ！
AvgDialog_10128_Content_2,adnp,avg序章_AvgDialog_C_M.csv,74,AvgDialog,Content,朵尔唤醒体,"怕什么，我还在这里呢。
守密人，让我执行<Yellow:「外域手术」>。","何を怖がっているの？ 私がいるわ。
守秘者さん、私の<Yellow:「外界手術」>を使ってみて。"
AvgDialog_10125_Content_1,admf,avg序章_AvgDialog_C_M.csv,75,AvgDialog,Content,拉蒙娜战损版,呼，抱歉，现在没时间等你适应了。,ふう……ごめんなさい。今はあなたが鳴れるのを待つ時間はないの。
AvgDialog_10125_Content_2,admq,avg序章_AvgDialog_C_M.csv,76,AvgDialog,Content,拉蒙娜战损版,异变体在警钟敲响之前抵达钥冢，弥萨格外围的<Blue:迷雾屏障>多半已经失效。,"警鐘が鳴る前に、変異体が鍵塚に到達してしまったみたい。
ミサゴ周辺の<Blue:霧のバリア>はほとんど消えてしまったようね……"
AvgDialog_10125_Content_3,admB,avg序章_AvgDialog_C_M.csv,77,AvgDialog,Content,拉蒙娜战损版,"<Blue:威廉>学长知道今天钥冢有仪式，但援兵一直没来，加上钟声……
我们必须想办法和他们会合，<Yellow:消灭异变的源头>。","<Blue:ウィリアム>先輩は今日の儀式を知っているのに、援軍が来ない……
どうにか先輩と合流して、<Yellow:異変の根源を絶つ>べきだわ。"
AvgDialog_10125_Content_4,admM,avg序章_AvgDialog_C_M.csv,78,AvgDialog,Content,拉蒙娜战损版,那是？！,なに！？
AvgDialog_10125_Content_6,admY,avg序章_AvgDialog_C_M.csv,80,AvgDialog,Content,,视线尽头，金发少年抬着与身量不相称的黑色巨盾，正在抵抗身姿矫健的双剑战士的攻击。,視線の先で、金髪の少年が大きな黒い盾を持ち、双剣の戦士の攻撃を防いでいる。
AvgDialog_10125_Content_7,admZ,avg序章_AvgDialog_C_M.csv,81,AvgDialog,Content,,他用护盾牢牢挡住身后的粉色长发少女，被逼得节节后退。,彼は背後の桃色の髪の少女を盾でしっかり守り、後退する。
AvgDialog_10125_Content_8,adna,avg序章_AvgDialog_C_M.csv,82,AvgDialog,Content,拉蒙娜战损版,等等……正在发动袭击的人……是<Yellow:唤醒体>萝坦？！,待って……攻撃を仕掛けているのは<Yellow:覚醒体>ロータン？！
AvgDialog_10125_Content_9,adnb,avg序章_AvgDialog_C_M.csv,83,AvgDialog,Content,拉蒙娜战损版,朵尔？<Blue:钟楼>失控了？！,ドール？ <Blue:鐘楼>が制御不能になったの！？
AvgDialog_10125_Content_10,admg,avg序章_AvgDialog_C_M.csv,84,AvgDialog,Content,,拉蒙娜大惊失色，在记忆中，你似乎从未见过她如此慌乱的模样。,"ラモンナが驚きに目を丸くする。
今まで彼女がこんなに慌てる姿は見たことがない。"
AvgDialog_10125_Content_11,admh,avg序章_AvgDialog_C_M.csv,85,AvgDialog,Content,,被劈头盖脸砸了问题的少女声音颤抖，看上去有些疲惫。,質問攻めにされた桃色の髪の少女の声は震え、疲れた様子だった。
AvgDialog_10125_Content_12,admi,avg序章_AvgDialog_C_M.csv,86,AvgDialog,Content,,你认识她，她是以难交流著称的教授朵尔，隶属于<Blue:唤醒系科研所>。换句话说，是非战斗人员。,あなたは彼女を知っている。彼女は気難しいことで有名な、<Blue:覚醒学研究所>のドール教授、つまり、非戦闘員だ。
AvgDialog_10125_Content_13,admj,avg序章_AvgDialog_C_M.csv,87,AvgDialog,Content,朵尔唤醒体,不然我、来这里度假吗？,そうじゃなければ、私がここに休暇に来たとでも言いたいの？
AvgDialog_10125_Content_14,admk,avg序章_AvgDialog_C_M.csv,88,AvgDialog,Content,,她闭了闭眼，振作起来。,彼女は一度目を閉じて、気を取り直した。
AvgDialog_10125_Content_15,adml,avg序章_AvgDialog_C_M.csv,89,AvgDialog,Content,朵尔唤醒体,钥冢居然也受到了袭击？这里离后门近，你们抓紧时间离开。,"鍵塚が襲撃されたのね。
ここは裏門に近いわ、急いで離れなさい。"
AvgDialog_10125_Content_16,admm,avg序章_AvgDialog_C_M.csv,90,AvgDialog,Content,拉蒙娜战损版,我们能帮上忙！%player%可以链接我们所有人，然后指挥——,私たちは戦える！ %player%は私たち全員とリンクして、指揮することができるわーー
AvgDialog_10125_Content_17,admn,avg序章_AvgDialog_C_M.csv,91,AvgDialog,Content,朵尔唤醒体,"拉蒙娜。
那些是我们的义务，%player%只是个刚读完预科的新人。",ラモンナ。それは私たちの義務よ。%player%はまだ教育を終えたばかりの新人なんだから……
AvgDialog_10125_Content_18,admo,avg序章_AvgDialog_C_M.csv,92,AvgDialog,Content,拉蒙娜战损版,但%player%已经和我链接了，我知道%heorshe%可以……我相信%heorshe%可以！,"でも%player%は私とリンクしているわ。
%heorshe%ならできると……私は信じてる！"
AvgDialog_10125_Content_19,admp,avg序章_AvgDialog_C_M.csv,93,AvgDialog,Content,,朵尔上下打量你，板起脸朝向拉蒙娜。,ドールはあなたを一瞥し、なにかを決意したような表情で、ラモンナの方を向いた。
AvgDialog_10125_Content_20,admr,avg序章_AvgDialog_C_M.csv,94,AvgDialog,Content,朵尔唤醒体,"如果我没猜错，宣誓仪式应该尚未完成。
%heorshe%，还没有被授予银钥匙吧？",見たところ誓いの儀式が中途半端ね。%heorshe%、まだ正式にシルバーキーを授与されていないでしょう？
AvgDialog_10125_Content_21,adms,avg序章_AvgDialog_C_M.csv,95,AvgDialog,Content,朵尔唤醒体,接下来我们会深入弥萨格禁区，未经授权者擅入禁区是什么级别的事故，我以为你自幼在此长大，心里是有数的。,次はミサゴ禁区に入るわ。無許可で禁区に入るのがどれほど危険か、幼い頃からここで育ったあなたならわかるはずよね？
AvgDialog_10125_Content_22,admt,avg序章_AvgDialog_C_M.csv,96,AvgDialog,Content,拉蒙娜战损版,"情况紧急，我们别无选择，不是吗？
而且，%player%不是普通的新生，%heorshe%是我们唯一的守密人。","今は緊急事態よ。
他に選択肢がある？
それに%player%は普通の新入生じゃない……%heorshe%は私たちの、唯一の守秘者よ。"
AvgDialog_10125_Content_23,admu,avg序章_AvgDialog_C_M.csv,97,AvgDialog,Content,拉蒙娜战损版,你应该还记得吧，一年前的<Yellow:阿库特大爆炸>。 当时如果不是%heorshe%以一己之力链接所有唤醒体，我现在也不可能站在这里与你争论。,"覚えているでしょ？ 一年前の<Yellow:アクート大爆発>。
もし%heorshe%がすべての覚醒体とリンクを繋いでいなければ、今ここであなたと口論することもできなかった……"
AvgDialog_10125_Content_24,admv,avg序章_AvgDialog_C_M.csv,98,AvgDialog,Content,,粉色头发的少女没有回答，反而转向了你。,桃色の髪の少女はラモンナの問いには答えず、あなたに向き直った。
AvgDialog_10125_Content_25,admw,avg序章_AvgDialog_C_M.csv,99,AvgDialog,Content,朵尔唤醒体,我知道你曾经窥见过<Yellow:「门」>内之物。但无论是世界的未来，还是弥萨格的内核，或许都比你想象得更为残酷。,"あなたが<Yellow:「門」>の中を覗いたことがあるのは知っているわ。
でも、世界の未来やミサゴ大学の核心は、あなたが想像するよりも残酷化もしれない……"
AvgDialog_10125_Content_26,admx,avg序章_AvgDialog_C_M.csv,100,AvgDialog,Content,朵尔唤醒体,我们面对的是会毁灭物质存在本身的现象，一旦被<Yellow:融蚀>污染，你的一切都会烟消云散。,"私たちが直面しているのは、存在そのものを破壊する現象よ。
<Yellow:融触>に汚染されると、すべてが消えてしまう。"
AvgDialog_10125_Content_27,admy,avg序章_AvgDialog_C_M.csv,101,AvgDialog,Content,朵尔唤醒体,你在宣誓仪式中刻在墓碑上的名字，也会化作一滩黑泥，无人铭记。,誓いの儀式で墓標に刻んだ名前も黒い泥となり、誰からも忘れられてしまう。
AvgDialog_10125_Content_28,admz,avg序章_AvgDialog_C_M.csv,102,AvgDialog,Content,朵尔唤醒体,回答我，你真的做好觉悟了吗？,答えて、本当に覚悟はできてる？
AvgDialog_10125_Content_29,admA,avg序章_AvgDialog_C_M.csv,103,AvgDialog,Content,,朵尔冷冰冰地望着你，语调毫无起伏。,"ドールは冷たい目であなたを見つめる。
その声に感情の起伏はない。"
AvgDialog_10125_Content_30,admC,avg序章_AvgDialog_C_M.csv,104,AvgDialog,Content,,她看上去没什么表情，但你从那冰霜般的瞳孔底部，窥见了熊熊燃烧的火焰。,彼女は特に表情を変えなかったが、その氷のような瞳孔の奥に燃える炎が見えた。
AvgDialog_10125_Content_31,admD,avg序章_AvgDialog_C_M.csv,105,AvgDialog,Content,,你的回答是——,あなたの答えはーー
AvgDialog_10125_Content_32,admE,avg序章_AvgDialog_C_M.csv,106,AvgDialog,Content,,我的墓碑，现在正伫立于钥冢之中。,私の墓標はもう、この鍵塚の中に立っている。
AvgDialog_10125_Content_33,admF,avg序章_AvgDialog_C_M.csv,107,AvgDialog,Content,,"你是弥萨格的一员。
或许早在阿库特时，你就已经是了。","あなたはミサゴ大学の一員だ。
おそらくアクート大爆発のときから、すでにそうだった。"
AvgDialog_10125_Content_34,admG,avg序章_AvgDialog_C_M.csv,108,AvgDialog,Content,,这里有只有我能做到的事情。,ここには私にしかできないことがある。
AvgDialog_10125_Content_35,admH,avg序章_AvgDialog_C_M.csv,109,AvgDialog,Content,,这决定或许稍显仓促，但谁能保证人生的每个时刻都是准备万全的呢？,急な決断かもしれない。けれどすべての瞬間において準備が整っているなんて、ありえないことだ。
AvgDialog_10125_Content_36,admI,avg序章_AvgDialog_C_M.csv,110,AvgDialog,Content,朵尔唤醒体,好。,いいわ。
AvgDialog_10125_Content_37,admJ,avg序章_AvgDialog_C_M.csv,111,AvgDialog,Content,朵尔唤醒体,我代弥萨格第六任校长<Blue:奥利弗·艾尔西>授予你这枚银钥匙，编号K-0617。,ミサゴ大学第六代校長<Blue:オリバー・エルシー>よりシルバーキー番号K-0617を授けましょう。
AvgDialog_10125_Content_39,admL,avg序章_AvgDialog_C_M.csv,113,AvgDialog,Content,,"朵尔从精密的小盒中取出银钥匙，佩戴在你的胸口。
银钥匙闪过荧光，熟悉的感觉充盈胸腔。","ドールは精巧な小箱からシルバーキーを取り出し、あなたの胸にかけた。
シルバーキーがほのかに輝き、懐かしい感覚が胸に満ちてゆく。"
AvgDialog_10125_Content_40,admN,avg序章_AvgDialog_C_M.csv,114,AvgDialog,Content,朵尔唤醒体,从今往后，你将以守密人的称号，与万万千千的弥萨格师生同在。,これからあなたは守秘者という特別な肩書を背負って、多くのミサゴ大学のメンバーと共に過ごすことになる。
AvgDialog_10125_Content_41,admO,avg序章_AvgDialog_C_M.csv,115,AvgDialog,Content,朵尔唤醒体,……,……
AvgDialog_10125_Content_42,admP,avg序章_AvgDialog_C_M.csv,116,AvgDialog,Content,朵尔唤醒体,现在，和我链接吧。,今からわたしとリンクしなさい。
AvgDialog_10125_Content_43,admQ,avg序章_AvgDialog_C_M.csv,117,AvgDialog,Content,,"你依照训练谨慎地发动银钥匙。
银辉闪烁，精神链接如千缕无形丝线将你和朵尔的感官联系起来。",あなたは慎重にシルバーキーを発動した。銀の光彩がきらめき、精神リンクが無数の見えない糸のようにあなたとドールの感覚を結びつける。
AvgDialog_10125_Content_44,admR,avg序章_AvgDialog_C_M.csv,118,AvgDialog,Content,,"仿佛电流接通，“啪”地一声，无数光影讯息传入脑海。
你被强烈的心悸震慑，几乎站立不稳。","「パチッ」という音とともに、まるで電流が流れたかのように、無数の光と情報が脳内に流れ込む。
とたんに、立っていられないほどの強烈な動機に襲われた。"
AvgDialog_10125_Content_45,admS,avg序章_AvgDialog_C_M.csv,119,AvgDialog,Content,玩家,朵尔，你……,ドール、君は……
AvgDialog_10125_Content_46,admT,avg序章_AvgDialog_C_M.csv,120,AvgDialog,Content,朵尔唤醒体,"你来得很及时，守密人。
我和奥吉尔……都已经是强弩之末了。","タイミングがよかったわ、守秘者さん。
私とオジールはもう限界だった。"
AvgDialog_10125_Content_47,admU,avg序章_AvgDialog_C_M.csv,121,AvgDialog,Content,玩家,你留在原地休息，我和拉蒙娜参战支援奥吉尔。,"ここで休んでいて。
私はラモンナと一緒に、オジールを助けに行く。"
