StageGroup_15935_Name,aRcG,g关卡组_StageGroup_A.csv,8,StageGroup,Name,,入学日,Enrollment Day
StageGroup_15917_Desc,aRbl,g关卡组_StageGroup_A.csv,18,StageGroup,Desc,,古老的伦蒂尼恩夜雾弥漫，在昏黄路灯无法照亮的角落，黑暗正伺机而动。,"Mist shrouds the ancient city of Londinium, and darkness lurks where the dim streetlights fail to reach."
StageGroup_15917_TypeText,aRbo,g关卡组_StageGroup_A.csv,18,StageGroup,TypeText,,调查困难,Investigation Hard
StageGroup_15895_TypeText,aQZE,g关卡组_StageGroup_A.csv,19,StageGroup,TypeText,,调查困难,Investigation Hard
StageGroup_15906_Desc,aRat,g关卡组_StageGroup_A.csv,20,StageGroup,Desc,,欢迎来到热情好客的拉伊小镇——冬夜的犬吠会让每位来访者宾至如归。,Welcome to the hospitable town of Rye—where the barking of dogs on winter nights makes every visitor feel at home.
StageGroup_15906_TypeText,aRaw,g关卡组_StageGroup_A.csv,20,StageGroup,TypeText,,调查困难,Investigation Hard
StageGroup_15921_Desc,aRbB,g关卡组_StageGroup_A.csv,21,StageGroup,Desc,,与“歇斯底里”的刻板印象相悖，此处是静止的无声世界。,"Contrary to the stereotype of ""hysteria,"" this is a still and silent world."
StageGroup_15921_TypeText,aRbE,g关卡组_StageGroup_A.csv,21,StageGroup,TypeText,,调查困难,Investigation Hard
StageGroup_15905_Name,aRaq,g关卡组_StageGroup_A.csv,22,StageGroup,Name,,风暴之眼,Eye of the Storm
StageGroup_15905_Desc,aRap,g关卡组_StageGroup_A.csv,22,StageGroup,Desc,,陌生的船只，陌生的少女，陌生的敌人。飘摇于大海之中，等待着调查员们的，是一场与命运的抗争……,"A strange ship; a strange girl; and strange enemies. Adrift upon the sea, what awaits our investigators is a struggle against fate..."
StageGroup_15905_TypeText,aRas,g关卡组_StageGroup_A.csv,22,StageGroup,TypeText,,调查困难,Investigation Hard
StageGroup_15946_Desc,aRdx,g关卡组_StageGroup_A.csv,23,StageGroup,Desc,,群星落入深海，在海底闪烁着无人能解读的愿望。,"Stars fall into the abyss, shimmering with wishes that no one can decipher."
StageGroup_15946_TypeText,aRdA,g关卡组_StageGroup_A.csv,23,StageGroup,TypeText,,调查困难,Investigation Hard
StageGroup_48869_Desc,aRmx,g关卡组_StageGroup_A.csv,24,StageGroup,Desc,,勒姆瓦希，卡达斯中部地带的黄沙之国。在被当地人称为“圣河”的母亲河哺育下，名为亚兰的文明正在暗中滋长与消亡……,"Remouahe, a desert nation located in central Kadath.\nNurtured by the ""Holy River,"" the Aram civilization quietly rises—and quietly, it fades away..."
StageGroup_48869_TypeText,aRmA,g关卡组_StageGroup_A.csv,24,StageGroup,TypeText,,调查困难,Investigation Hard
StageGroup_58906_Desc,aRBJ,g关卡组_StageGroup_A.csv,25,StageGroup,Desc,,入场。静坐。等待。渴求。\n指挥棒轻轻扬起。准备好，聆听这宇宙最深邃的隐秘了吗？,"Enter. Sit. Wait. Yearn.\nGently, the baton rises. Are you ready to listen to the deepest secrets of the universe?"
StageGroup_58906_TypeText,aRBM,g关卡组_StageGroup_A.csv,25,StageGroup,TypeText,,调查困难,Investigation Hard
StageGroup_67785_Desc,aRCp,g关卡组_StageGroup_A.csv,26,StageGroup,Desc,,祂做了一场漫长的梦。\n祂梦见神与星辰，梦见尘埃衍化文明，文明化为尘埃。\n祂梦见恨与爱，梦见欢愉与恐惧。 \n祂从睡梦中惊醒。梦境中的一切，从未存在。,"It had a long dream.\nIt dreamed of gods and stars; of dust giving rise to civilization, and of civilization returning to dust.\nIt dreamed of hate and love; of joy and fear.\nIt woke with a start. Everything in its dream—had never existed."
StageGroup_15896_Desc,aQZF,g关卡组_StageGroup_A.csv,27,StageGroup,Desc,,古老的伦蒂尼恩夜雾弥漫，在昏黄路灯无法照亮的角落，黑暗正伺机而动。,"Mist shrouds the ancient city of Londinium, and darkness lurks where the dim streetlights fail to reach."
StageGroup_15913_Desc,aRaV,g关卡组_StageGroup_A.csv,29,StageGroup,Desc,,欢迎来到热情好客的拉伊小镇——冬夜的犬吠会让每位来访者宾至如归。,Welcome to the hospitable town of Rye—where the barking of dogs on winter nights makes every visitor feel at home.
StageGroup_15925_Desc,aRbR,g关卡组_StageGroup_A.csv,30,StageGroup,Desc,,与“歇斯底里”的刻板印象相悖，此处是静止的无声世界。,"Contrary to the stereotype of ""hysteria,"" this is a still and silent world."
StageGroup_15919_Name,aRbu,g关卡组_StageGroup_A.csv,31,StageGroup,Name,,风暴之眼(未完成),Eye of the Storm (Incomplete)
StageGroup_15919_Desc,aRbt,g关卡组_StageGroup_A.csv,31,StageGroup,Desc,,陌生的船只，陌生的少女，陌生的敌人。飘摇于大海之中，等待着调查员们的，是一场与命运的抗争……,"A strange ship; a strange girl; and strange enemies. Adrift upon the sea, what awaits our investigators is a struggle against fate..."
StageGroup_15920_Desc,aRbx,g关卡组_StageGroup_A.csv,32,StageGroup,Desc,,群星落入深海，在海底闪烁着无人能解读的愿望。,"Stars fall into the abyss, shimmering with wishes that no one can decipher."
StageGroup_48868_Desc,aRmt,g关卡组_StageGroup_A.csv,33,StageGroup,Desc,,勒姆瓦希，卡达斯中部地带的黄沙之国。在被当地人称为“圣河”的母亲河哺育下，名为亚兰的文明正在暗中滋长与消亡……,"Remouahe, a desert nation located in central Kadath.\nNurtured by the ""Holy River,"" the Aram civilization quietly rises—and quietly, it fades away..."
StageGroup_58904_Desc,aRBF,g关卡组_StageGroup_A.csv,34,StageGroup,Desc,,入场。静坐。等待。渴求。\n指挥棒轻轻扬起。准备好，聆听这宇宙最深邃的隐秘了吗？,"Enter. Sit. Wait. Yearn.\nGently, the baton rises. Are you ready to listen to the deepest secrets of the universe?"
StageGroup_67787_Desc,aRCx,g关卡组_StageGroup_A.csv,35,StageGroup,Desc,,祂做了一场漫长的梦。\n祂梦见神与星辰，梦见尘埃衍化文明，文明化为尘埃。\n祂梦见恨与爱，梦见欢愉与恐惧。 \n祂从睡梦中惊醒。梦境中的一切，从未存在。,"It had a long dream.\nIt dreamed of gods and stars; of dust giving rise to civilization, and of civilization returning to dust.\nIt dreamed of hate and love; of joy and fear.\nIt woke with a start. Everything in its dream—had never existed."
StageGroup_70939_Desc,aRGV,g关卡组_StageGroup_A.csv,36,StageGroup,Desc,,被灰雾埋葬的旧日废都\n跨越无光的星辰，与无上意志的碎念在毁损维度重逢,"Buried in the gray mist lies the ruins of an ancient city.\nTraverse the void of lightless stars, reuniting with the fragmented thoughts of the Supreme Will in a damaged Dimension."
StageGroup_70938_Desc,bqZb,g关卡组_StageGroup_A.csv,37,StageGroup,Desc,,群体潜意识构筑的疗养院\n在这里，躯壳的消解并非终点，心灵的死亡才是终结。\n踏入者啊，请保持理智，人性是你穿行心灵迷宫的唯一依仗。,"A sanatorium constructed by the collective subconscious.\nHere, the dissolution of the shell is not the end; the death of the mind is.\nThose who enter, please maintain your sanity. Your humanity shall be your only recourse as you traverse the maze of your mind."
StageGroup_70940_Desc,bzad,g关卡组_StageGroup_A.csv,38,StageGroup,Desc,,欢庆吧，我的朋友♪\n月光下的骸骨悄然绽放，一位挚爱被送上餐盘♪\n所有的宾客都已到来！唱呀，跳呀♪\n我们从不为亡灵祈祷，我们从不为尸首哀悼♪\n她将记忆交予了我，她将眼泪交予了我♪\n让我们咽下她的魂灵与腐肉♪\n在死亡的盛宴中，我们再度重圆♪,"Rejoice, my friend♪\nBeneath the moonlight, bones quietly bloom♪\nMy beloved lies still on a silver plate♪\nAll the guests have arrived! Sing! Dance!♪\nWe never pray for the dead, we never mourn the corpses♪\nShe gave me her memories, she gave me her tears♪\nLet us swallow her soul, her decaying flesh♪\nIn this feast of death, we are reunited once more♪"
StageGroup_72075_Desc,aRHd,g关卡组_StageGroup_A.csv,39,StageGroup,Desc,,被灰雾埋葬的旧日废都\n跨越无光的星辰，与无上意志的碎念在毁损维度重逢,"Buried in the gray mist lies the ruins of an ancient city.\nTraverse the void of lightless stars, reuniting with the fragmented thoughts of the Supreme Will in a damaged Dimension."
StageGroup_72074_Desc,bqZf,g关卡组_StageGroup_A.csv,40,StageGroup,Desc,,群体潜意识构筑的疗养院\n在这里，躯壳的消解并非终点，心灵的死亡才是终结。\n踏入者啊，请保持理智，人性是你穿行心灵迷宫的唯一依仗。,"A sanatorium constructed by the collective subconscious.\nHere, the dissolution of the shell is not the end; the death of the mind is.\nThose who enter, please maintain your sanity. Your humanity shall be your only recourse as you traverse the maze of your mind."
StageGroup_72073_Desc,bzag,g关卡组_StageGroup_A.csv,41,StageGroup,Desc,,欢庆吧，我的朋友♪\n月光下的骸骨悄然绽放，一位挚爱被送上餐盘♪\n所有的宾客都已到来！唱呀，跳呀♪\n我们从不为亡灵祈祷，我们从不为尸首哀悼♪\n她将记忆交予了我，她将眼泪交予了我♪\n让我们咽下她的魂灵与腐肉♪\n在死亡的盛宴中，我们再度重圆♪,"Rejoice, my friend♪\nBeneath the moonlight, bones quietly bloom♪\nMy beloved lies still on a silver plate♪\nAll the guests have arrived! Sing! Dance!♪\nWe never pray for the dead, we never mourn the corpses♪\nShe gave me her memories, she gave me her tears♪\nLet us swallow her soul, her decaying flesh♪\nIn this feast of death, we are reunited once more♪"
