Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
EnchantConfig_18195_Desc,awgL,f附魔_EnchantConfig_A.csv,21,EnchantConfig,Desc,,打出后获得 [Arg1] 点<PowerIconKeywords:力量>。,"After being played, gain [Arg1] <PowerIconKeywords:STR>."
EnchantConfig_18202_Desc,awgZ,f附魔_EnchantConfig_A.csv,22,EnchantConfig,Desc,,打出后获得 [Arg1] 点临时<PowerIconKeywords:力量>，刻印卡牌也能受到该<PowerIconKeywords:力量>加成。,"When played, first gain [Arg1] Temp. <PowerIconKeywords:STR>, then resolve the card's effects. (Its DMG will benefit from this STR.)"
EnchantConfig_18203_Desc,awhb,f附魔_EnchantConfig_A.csv,23,EnchantConfig,Desc,,打出后其他唤醒体获得 [Arg1] 狂气。,"When played, all other Awakeners gain <Energy:[Arg1]> Aliemus."
EnchantConfig_48006_Desc,awhf,f附魔_EnchantConfig_A.csv,26,EnchantConfig,Desc,,每回合第一次打出生效 2 次。,"When played for the first time each turn, takes effect 1 additional time."
EnchantConfig_18197_Desc,awgP,f附魔_EnchantConfig_A.csv,28,EnchantConfig,Desc,,打出后获得 [Arg1] 点算力。,"When played, gain [Arg1] Arithmetica."
EnchantConfig_18180_Desc,awgh,f附魔_EnchantConfig_A.csv,29,EnchantConfig,Desc,,打出后所属唤醒体获得 [Arg1] 点狂气。,"When played, this card's Awakener gains <Energy:[Arg1]> Aliemus."
EnchantConfig_18174_Desc,awfV,f附魔_EnchantConfig_A.csv,30,EnchantConfig,Desc,,打出后<VulnerabilityIconKeywords:易伤>所有敌人 [Arg1] 回合。,"When played, inflict [Arg1] <plural value=""[Arg1]"" singular=""stack"" plural=""stacks""> of <VulnerabilityIconKeywords:Vulnerable> on all enemies."
EnchantConfig_18190_Desc,awgB,f附魔_EnchantConfig_A.csv,31,EnchantConfig,Desc,,打出后<WeaknessIconKeywords:虚弱>所有敌人 [Arg1] 回合。,"When played, inflict [Arg1] <plural value=""[Arg1]"" singular=""stack"" plural=""stacks""> of <WeaknessIconKeywords:Weakness> on all enemies."
EnchantConfig_18171_Desc,awfP,f附魔_EnchantConfig_A.csv,33,EnchantConfig,Desc,,打出后额外生效 [Arg1] 次，获得 [Arg2] 点黑印，<DepleteIconKeywords:消耗>、<GuyouKeywords:固有>。,"When played, takes effect [Arg1] additional <plural value=""[Arg1]"" singular=""time"" plural=""times"">, and you receive [StateArg2] Black Sigils. (This Orison also affixed <DepleteIconKeywords:Exhaust> and <GuyouKeywords:Innate> to the card.)"
EnchantConfig_18175_Desc,awfX,f附魔_EnchantConfig_A.csv,37,EnchantConfig,Desc,,打出后使 1 条触腕攻击 [Arg1] 次。,"When played, trigger [Arg1] Tentacle <plural value=""[Arg1]"" singular=""attack"" plural=""attacks"">."
EnchantConfig_18179_Desc,awgf,f附魔_EnchantConfig_A.csv,40,EnchantConfig,Desc,,打出后获得 [Arg1] 点<PowerIconKeywords:力量>。,"After being played, gain [Arg1] <PowerIconKeywords:STR>."
EnchantConfig_18187_Desc,awgv,f附魔_EnchantConfig_A.csv,41,EnchantConfig,Desc,,打出后获得 [Arg1] 点临时<PowerIconKeywords:力量>，刻印卡牌也能受到该<PowerIconKeywords:力量>加成。,"When played, first gain [Arg1] Temp. <PowerIconKeywords:STR>, then resolve the card's effects. (Its DMG will benefit from this STR.)"
EnchantConfig_18198_Desc,awgR,f附魔_EnchantConfig_A.csv,42,EnchantConfig,Desc,,打出后其他唤醒体获得 [Arg1] 狂气。,"When played, all other Awakeners gain <Energy:[Arg1]> Aliemus."
EnchantConfig_48007_Desc,awhh,f附魔_EnchantConfig_A.csv,45,EnchantConfig,Desc,,每回合第一次打出生效 3 次。,"When played for the first time each turn, takes effect 2 additional times."
EnchantConfig_119927_Desc,bKkZ,f附魔_EnchantConfig_A.csv,53,EnchantConfig,Desc,,打出后额外生效 [Arg1] 次，<DepleteIconKeywords:消耗>。<RippleKeywords:余波>：抽 2 张牌。,"When played, will take effect [Arg1] additional <plural value=""[Arg1]"" singular=""time"" plural=""times"">, then <DepleteIconKeywords:Exhaust>. <RippleKeywords:Aftershock>: Draw 2 cards."
Event_74161_ChoiceDesc1,aBer,s事件_Event_A.csv,9,Event,ChoiceDesc1,,【安葬】回复 Arg2 点生命[ExDesc1]，选择 1 张指令卡删除。,[Bury] Destroy up to 1 Command Card and recover Arg2 HP. [ExDesc1]
Event_74161_ChoiceDesc2,aBes,s事件_Event_A.csv,9,Event,ChoiceDesc2,,【祷告】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Pray] Acquire the Silver Relic ""(RelicConfig.Arg1),"" but develop ""(Skill.Arg2)."""
Event_129900_ChoiceDesc1,bPok,s事件_Event_A.csv,12,Event,ChoiceDesc1,,【安葬】回复 Arg2 点生命[ExDesc1]，选择 1 张指令卡删除。,[Bury] Destroy up to 1 Command Card and recover Arg2 HP. [ExDesc1]
Event_129900_ChoiceDesc2,bPol,s事件_Event_A.csv,12,Event,ChoiceDesc2,,【祷告】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Pray] Acquire the Silver Relic ""(RelicConfig.Arg1),"" but develop ""(Skill.Arg2)."""
LanguageConfig_VictoryAward_CN,aHom,d多语言_LanguageConfig_C.csv,512,LanguageConfig,CN,,获得,Received
LanguageConfig_CanEquipTwoSSRWeaonRuleDesc_CN,aGDO,d多语言_LanguageConfig_C.csv,2497,LanguageConfig,CN,,现在可以装备两个SSR命轮,This Awakener may now equip 2 SSR WoDs
LanguageConfig_ExtraSSRWeaponUnlockTips_CN,aGLH,d多语言_LanguageConfig_C.csv,2498,LanguageConfig,CN,,「超限因果」已激活！,Overlimit Causality Activated!
LanguageConfig_ExtraSSRWeaponRuleContent_CN,aGLF,d多语言_LanguageConfig_C.csv,2501,LanguageConfig,CN,,<Title:超限因果>\n·一般情况下，同一个唤醒体只能装备一个SSR命轮。\n·当唤醒体装备了额外叠位达到12的SSR命轮时，能够激活「超限因果」效果，使唤醒体能同时装备两个SSR命轮。,"<Title:Overlimit Causality>\nUnder normal circumstances, an Awakener can only equip up to one SSR Wheel of Destiny.\nWhen the Awakener equips a +12 SSR Wheel of Destiny, ""Overlimit Causality"" activates, allowing the Awakener to equip two SSR Wheels of Destiny simultaneously."
LanguageConfig_Monster_Liz_Tips2_CN,bNBB,d多语言_LanguageConfig_C.csv,3424,LanguageConfig,CN,,敌人将释放告死之舞，弃掉所有卡牌，尽可能打出卡牌！,"The enemy will perform Dance to Destruction, making you discard your hand to fuel its attack. Play as many cards as possible!"
RelicConfig_84121_Desc,btRj,z造物_RelicConfig_A.csv,518,RelicConfig,Desc,,回合开始时阿拉克涅获得 [Arg1] 狂气。「打击」和「防御」立即释放 1 次「无尽线缕」追击，每回合最多各生效 1 次。,"At the start of each turn, Arachne gains <Energy:[Arg1]> Aliemus. When Arachne's Basic Strike or Basic Defense are played, she performs her Pursuit: ""Infinite Threads."" These 2 effects can trigger up to once each turn respectively, and do not consume <SilkKeywords:Weaver>."
RelicConfig_84121_BattleDesc,btRi,z造物_RelicConfig_A.csv,518,RelicConfig,BattleDesc,,回合开始时阿拉克涅获得 [Arg1] 狂气。「打击」和「防御」立即释放 1 次「无尽线缕」追击，每回合最多各生效 1 次。,"At the start of each turn, Arachne gains <Energy:[Arg1]> Aliemus. When Arachne's Basic Strike or Basic Defense are played, she performs her Pursuit: ""Infinite Threads."" These 2 effects can trigger up to once each turn respectively, and do not consume <SilkKeywords:Weaver>."
SchoolConfig_3_SchoolBattleTips_1,bKlO,z职业_SchoolConfig_A.csv,9,SchoolConfig,SchoolBattleTips,,·维度穿梭：每回合首次打出指令卡后触发该效果，将其临时原始复制置入超维空间，超维回合无法发动该效果。\n·超维回合：进入超维回合后，将超维空间的所有卡牌置入手中以代替抽牌。超维回合造成的伤害、护盾、生命回复、银钥能量、狂气、力量变化、中毒、反击、出血减少 25%。\n·湮灭：每回合 1 次，能够移除超维空间最左侧的卡牌，将 1 张「灵感」置入手中。\n·超维精通：队伍每有 1 点界域精通，回合开始时有 <BlueQuality:[Arg1]%> 的概率获得 1 张「灵感」，概率超过 100% 可获得多张。\n·至纯超维：如果队伍中仅由超维唤醒体组成时，超维精通属性效果翻倍，且不再受到超维回合能力下降效果的影响。,"Dimension Shuttle: After playing the first Command Card each turn, a Fleeting, Basic Copy of it will be put into Ultra Space. This cannot trigger during Ultra Rounds.\nUltra Round: If Ultra Space is full at turn end, an Ultra Round begins. During this extra turn, pull all cards from Ultra Space into your hand instead of drawing from the Draw Pile. DMG, Shield, HP Recovery, Keyflare, Aliemus, STR, Poison, Counter, and Bleed effects during Ultra Rounds -25%.\nAnnihilation: Destroy the leftmost card in Ultra Space, and create 1 ""Insight."" Annihilation can only be used once per turn.\nUltra Mastery: For each 1 point of Realm Mastery, there is a <BlueQuality:[Arg1]%> chance at turn start to create 1 ""Insight."" If the chance exceeds 100%, multiple ""Insight"" may be created.\nPure Ultra: If the team consists only of Ultra or Chaos Awakeners, the Ultra Mastery effect is doubled, and the team is no longer affected by the stat reduction during Ultra Rounds."
SchoolConfig_3_SchoolBattleTips_2,bKlT,z职业_SchoolConfig_A.csv,9,SchoolConfig,SchoolBattleTips,,·维度穿梭：每回合首次打出指令卡后触发该效果，将其临时原始复制置入超维空间并为其和临时复制赋予 <BlueQuality:[Arg2]> 层「奇点信标」，超维回合无法发动该效果。\n·奇点信标：每拥有 1 层使该卡牌造成的伤害、力量和触腕伤害提高、固定中毒、固定反击最终效果提高 2%；护盾、生命回复、力量降低的最终效果提高 1%，打出后移除。拥有奇点信标的卡牌无法触发「维度穿梭」。\n·超维空间：当其达到上限时回合结束改为发动超维空间，不再获得额外回合，弃掉非保留手牌并触发虚无效果、将超维空间所有卡牌置入手中，将当前算力设置为 5 点。发动超维空间后，本回合视为超维回合。\n·奇点湮灭：取出超维空间最左侧的卡牌，本回合下次「奇点折跃」可发动。3 回合冷却。\n·探索开始后队伍伤害强效 +50%，并获得 15 层「奇点棱镜」。\n·「奇点棱镜」：所有指令卡视为拥有等量奇点信标的加成。\n·超维精通：队伍每有 1 点界域精通，使「奇点棱镜」和「维度穿梭」施加的「奇点信标」层数提高 0.05%。\n·至纯超维：如果队伍仅由超维或混沌唤醒体组成，超维精通效果和界域提供的伤害强效翻倍。,"Dimension Shuttle: After playing the first Command Card each turn, a Fleeting, Basic Copy of it will be put into Ultra Space and granted <BlueQuality:[Arg2]> stacks of Singularity Beacon. This cannot trigger during Ultra Rounds. If a card triggers Dimension Shuttle, it also benefits from the effects of Singularity Beacon.\nSingularity Beacon: For each stack, a card's Final DMG, STR & Tentacle DMG gain, Fixed-value Poison & Counter each +2%; Final Shield, HP Recovery, and STR▼ each +1%. This effect clears when the card is played. Cards with this effect cannot trigger Dimension Shuttle.\nUltra Space: When full, beginning the Ultra Round does not end the turn nor does it start one; discard all non-Retain cards, resolve their Fleeting effects, pull all cards from Ultra Space, and set Arithmetica to 5. This current turn continues as an Ultra Round.\nSingularity Annihilation: Pull the leftmost card out from Ultra Space and into your hand. 3 turns cooldown.\nAt the start of investigation, gain +50% DMG Amplification and 15 stacks of Singularity Prism.\nSingularity Prism: All Command Cards' effects increase as though they had this many stacks of Singularity Beacon.\nUltra Mastery: For each 1 point of Realm Mastery, Singularity Beacon stacks from Singularity Prism and Dimension Shuttle increase by 0.05%.\nPure Ultra: If the team consists only of Ultra or Chaos Awakeners, the Ultra Mastery effect and Realm DMG Amplification are doubled."
SchoolConfig_3_Tips,bHRQ,z职业_SchoolConfig_A.csv,9,SchoolConfig,Tips,,·维度穿梭：每回合首次打出指令卡后触发该效果，将其临时原始复制置入超维空间，超维回合无法发动该效果。\n·超维回合：进入超维回合后，将超维空间的所有卡牌置入手中以代替抽牌。超维回合造成的伤害、护盾、生命回复、银钥能量、狂气、力量变化、中毒、反击、出血减少 25%。\n·湮灭：每回合 1 次，能够移除超维空间最左侧的卡牌，将 1 张「灵感」置入手中。\n·超维精通：队伍每有 1 点界域精通，回合开始时有 0.125% 的概率获得 1 张「灵感」，概率超过 100% 可获得多张。\n·至纯超维：如果队伍中仅由超维唤醒体组成时，超维精通属性效果翻倍，且不再受到超维回合能力下降效果的影响。,"Dimension Shuttle: After playing the first Command Card each turn, a Fleeting, Basic Copy of it will be put into Ultra Space. This cannot trigger during Ultra Rounds.\n\nUltra Round: If Ultra Space is full at turn end, an Ultra Round begins. During this extra turn, pull all cards from Ultra Space into your hand instead of drawing from the Draw Pile. DMG, Shield, HP Recovery, Keyflare, Aliemus, STR, Poison, Counter, and Bleed effects during Ultra Rounds -25%.\n\nAnnihilation: Destroy the leftmost card in Ultra Space, and create 1 ""Insight."" Annihilation can only be used once per turn.\n\nUltra Mastery: For each 1 point of Realm Mastery, there is a 0.125% chance at turn start to create 1 ""Insight."" If the chance exceeds 100%, multiple ""Insight"" may be created.\n\nPure Ultra: If the team consists only of Ultra or Chaos Awakeners, the Ultra Mastery effect is doubled, and the team is no longer affected by the stat reduction during Ultra Rounds."
Skill_4043_Desc,aMgb,j技能表_Skill_A.csv,41,Skill,Desc,,对所有敌人造成 1 回合<WeaknessIconKeywords:虚弱>和<VulnerabilityIconKeywords:易伤>，<TouquKeywords:偷取>所有敌人 [Arg1] 点<PowerIconKeywords:力量>。,"Inflict 1 stack of <WeaknessIconKeywords:Weakness> and <VulnerabilityIconKeywords:Vulnerable> on each enemy, and <TouquKeywords:Steal> [Arg1] <PowerIconKeywords:STR> from them."
Skill_4043_BattleDesc,aMga,j技能表_Skill_A.csv,41,Skill,BattleDesc,,对所有敌人造成 1 回合<WeaknessIconKeywords:虚弱>和<VulnerabilityIconKeywords:易伤>，临时降低所有敌人 [Arg1] 点<ExhaustionIconKeywords:力量>，每有 1 名敌人获得 [Arg1] 点临时<PowerIconKeywords:力量>。,"Inflict 1 stack of <WeaknessIconKeywords:Weakness> and <VulnerabilityIconKeywords:Vulnerable> on each enemy. For each enemy, inflict [Arg1] Temp. <ExhaustionIconKeywords:STR▼> on them and gain [Arg1] Temp. <PowerIconKeywords:STR>."
Skill_4292_Desc,aMOm,j技能表_Skill_A.csv,43,Skill,Desc,,获得 3 点算力。,Gain 3 Arithmetica.
Skill_4048_Desc,aMgK,j技能表_Skill_A.csv,44,Skill,Desc,,选择 1 名唤醒体使其获得 <Energy:[Arg1]> 点狂气。,Grant a chosen Awakener <Energy:[Arg1]> Aliemus.
Skill_4222_Desc,aMEV,j技能表_Skill_A.csv,45,Skill,Desc,,获得 [Arg1] 点<PowerIconKeywords:力量>，额外获得等同于永久力量 25%的临时<PowerIconKeywords:力量>。,"Gain [Arg1] <PowerIconKeywords:STR>, then gain Temporary <PowerIconKeywords:STR> equal to 25% of your Permanent STR."
Skill_4582_Desc,aOaa,j技能表_Skill_A.csv,47,Skill,Desc,,所有唤醒体获得 <Energy:15> 点狂气，下回合开始时，获得 5% 最大生命 <SacrificeKeyWord:献祭>。,Grant all Awakeners <Energy:15> Aliemus. Suffer a Delayed <SacrificeKeyWord:Sacrifice> equal to 5% of your Max HP.
Skill_4582_BattleDesc,aNZZ,j技能表_Skill_A.csv,47,Skill,BattleDesc,,所有唤醒体获得 <Energy:15> 点狂气，下回合开始时，受到最大生命 5%([Arg3]) 的<SacrificeKeyWord:献祭>。,Grant all Awakeners <Energy:15> Aliemus. Suffer [Arg3] Delayed <SacrificeKeyWord:Sacrifice> (5% of Max HP).
Skill_36800_Desc,aLRV,j技能表_Skill_A.csv,49,Skill,Desc,,从抽牌堆中抽 [Arg1] 张算力消耗最低的卡牌。若当前界域为「深海」，则额外使<TentacleInjurieIconKeywords:触腕伤害>提高 [Arg2] 点。,"Draw [Arg1] <plural value=""[Arg1]"" singular=""card"" plural=""cards""> with the lowest Arithmetica Cost from the Draw Pile. Gain [Arg2] <TentacleInjurieIconKeywords:Tentacle DMG>."
Skill_36807_Desc,aLSc,j技能表_Skill_A.csv,50,Skill,Desc,,选择 1 名唤醒体使其获得 <Energy:[Arg2]>  点狂气，获得 [Arg3] 点<PowerIconKeywords:力量>，若当前界域为「血肉」，额外使<EmbryoFusionIconKeywords:胚胎融合> + [Arg4]，但失去 10%当前生命。,"Grant a chosen Awakener <Energy:[Arg2]> Aliemus. Gain [Arg3] <PowerIconKeywords:STR>. If the Realm includes Caro, consume 10% of your HP to increase <EmbryoFusionIconKeywords:Embryo Fusion> by +[Arg4]%."
Skill_36807_BattleDesc,aLSb,j技能表_Skill_A.csv,50,Skill,BattleDesc,,选择 1 名唤醒体使其获得 <Energy:[Arg2]>  点狂气，获得 [Arg3] 点<PowerIconKeywords:力量>，若当前界域为「血肉」，额外使<EmbryoFusionIconKeywords:胚胎融合> + [Arg4]，但失去 10%([Arg1])当前生命。,"Grant a chosen Awakener <Energy:[Arg2]> Aliemus. Gain [Arg3] <PowerIconKeywords:STR>. If the Realm includes Caro, consume [Arg1] (10% of current) HP to increase <EmbryoFusionIconKeywords:Embryo Fusion> by +[Arg4]%."
Skill_36808_Desc,aLSj,j技能表_Skill_A.csv,51,Skill,Desc,,获得 [Arg4] 点算力。选择 1 名唤醒体，将其 [Arg1] 张「打击」与 [Arg1] 张「防御」的原始复制置入手中，并使他们获得<DepleteIconKeywords:消耗>，<NothingnessIconKeywords:虚无>。若当前界域为「超维」，则额外获得 [Arg2] 点临时<PowerIconKeywords:力量>与 [Arg3] 点临时<AlertIconKeywords:戒备>。,"Gain [Arg4] Arithmetica. Choose an Awakener; create [Arg1] of their Basic Strike and [Arg1] of their Basic Defense. The copies have <DepleteIconKeywords:Exhaust> and <NothingnessIconKeywords:Fleeting>. If the Realm includes Ultra, gain [Arg2] Temp. <PowerIconKeywords:STR> and [Arg3] Temp. <AlertIconKeywords:Alert>."
Skill_36845_Desc,aLSL,j技能表_Skill_A.csv,53,Skill,Desc,,获得 [Arg1] 点算力，下回合开始时获得 <Block:[Block:Arg2]> 点护盾。若当前界域为「深海」且处于「潮涌」姿态，则效果变为生成 [Arg3] 条触腕。,"Gain [Arg1] Arithmetica and <Block:[Block:Arg2]> Delayed Shield. If your Tentacle Stance is ""Surging Tides,"" instead spawn [Arg3] <plural value=""[Arg3]"" singular=""Tentacle"" plural=""Tentacles"">."
Skill_36852_Desc,aLTg,j技能表_Skill_A.csv,59,Skill,Desc,,抽 1 张牌，如果抽到指令卡或灵知觉醒，将其算力消耗变为 0，并使其拥有者获得 <Energy:[Arg1]> 点狂气。否则将这张牌弃掉并重复此条效果。,"Draw 1 card; if the drawn card is a Command or Rouse card, reduce its Arithmetica Cost to 0 and grant its Awakener <Energy:[Arg1]> Aliemus. Otherwise, discard that card and repeat this process."
Skill_36854_Desc,aLTu,j技能表_Skill_A.csv,62,Skill,Desc,,获得 1 点算力和 [Arg1] 点<PowerIconKeywords:力量>，选择一名唤醒体获得 [Arg2] 点狂气。若当前界域为「深海」且处于「怒涛」姿态，效果改为获得 15% 临时暴击率和临时暴击伤害。,"Gain 1 Arithmetica and gain [Arg1] <PowerIconKeywords:STR>. Grant a chosen Awakener <Energy:[Arg2]> Aliemus. If your Tentacle Stance is Raging Waves, gain +15% Temporary Crit. Rate & Crit. DMG instead of granting Aliemus."
Skill_36855_Desc,aLTB,j技能表_Skill_A.csv,63,Skill,Desc,,界域精通提高 [Arg1]。选择 1 名唤醒体使其获得 <Energy:[Energy:Arg2]> 点狂气。,Increase <ProficientInRealmsIconKeywords:Realm Mastery> by [Arg1]. Grant a chosen Awakener <Energy:[Arg2]> Aliemus.
Skill_49416_Desc,aOUi,j技能表_Skill_A.csv,64,Skill,Desc,,选择 1 张手中的非衍生指令卡，获得一张附加<DepleteIconKeywords:消耗>的原始复制，并使指令卡的所有者获得 <Energy:[Arg1]> 点狂气。,Choose a non-Derived Command Card in hand and create a Basic Copy of it. The copy has <DepleteIconKeywords:Exhaust>. Grant its Awakener <Energy:[Arg1]> Aliemus.
Skill_52698_Desc,aPjU,j技能表_Skill_A.csv,65,Skill,Desc,,抽 2 张牌，获得 2 点算力，所有唤醒体失去 5 点狂气。若当前处于「静海」姿态，对所有敌人施加 [Arg1] 层<IntoxicationIconKeywords:中毒>，在首领战中发挥 3 倍效果。,"Draw 2 cards. Gain 2 Arithmetica. All Awakeners lose <Energy:5> Aliemus. If your Tentacle Stance is ""Tranquil Sea,"" inflict [Arg1] <IntoxicationIconKeywords:Poison> on all enemies. Inflict 3× that much <IntoxicationIconKeywords:Poison> instead in Boss Battles."
Skill_56203_Desc,aPsC,j技能表_Skill_A.csv,69,Skill,Desc,,所有唤醒体获得 10 点狂气。,Grant all Awakeners <Energy:10> Aliemus.
Skill_60590_Desc,aPQd,j技能表_Skill_A.csv,72,Skill,Desc,,本回合下一张打出的卡牌若算力消耗大于等于 3，获得 2 点算力，否则抽 2 张牌。若为本场战斗中第 4 次生效，改为直接获得 4 张「灵感」。,"If the Arithmetica Cost of the next card you play this turn is 3 or more, gain 2 Arithmetica. Otherwise, draw 2 cards. If this is the 4th time this Posse was unleashed this battle, instead create 4 ""<DerivativeCardKeywords_4:Insight>."""
Skill_60590_BattleDesc,aPQc,j技能表_Skill_A.csv,72,Skill,BattleDesc,,本回合下一张打出的卡牌若算力消耗大于等于 3，获得 2 点算力，否则抽 2 张牌。若为本场战斗中第 4 次生效，改为直接获得 4 张「灵感」。([Arg1]/4),"If the Arithmetica Cost of the next card you play this turn is 3 or more, gain 2 Arithmetica. Otherwise, draw 2 cards. If this is the 4th time this Posse was unleashed this battle, instead create 4 ""<DerivativeCardKeywords_4:Insight>."" ([Arg1]/4)"
Skill_66499_Desc,aQdq,j技能表_Skill_A.csv,74,Skill,Desc,,<FaxianKeywords:发现> 3 个随机的钥令，选择其中 1 个触发其效果并获得 <Posse:[Arg1]> 点银钥能量。,<FaxianKeywords:Discover> 1 out of 3 random Posses and gain <Posse:[Arg1]> Keyflare.
Skill_70829_Desc,aQCT,j技能表_Skill_A.csv,75,Skill,Desc,,选择「<DerivativeCardKeywords_99:沉眠>」或「<DerivativeCardKeywords_100:苏醒>」。,"Choose either ""<DerivativeCardKeywords_99:Slumber>"" or ""<DerivativeCardKeywords_100:Arouse>."""
