Stage_8027_Name,aVnu,g关卡_Stage_A.csv,114,Stage,Name,,疯人之口,Mouth of the Mad
AvgDialog_19076_Content_20,agVT,avg章4_AvgDialog_C_M.csv,27,AvgDialog,Content,,莉莉攥着你的手一紧，她看看拉蒙娜，又看看你，眼中写满了不安。,"Lily tightens her grip on your hand, glancing at Ramona and then at you, her eyes filled with unease."
AvgDialog_19076_Content_21,agVU,avg章4_AvgDialog_C_M.csv,28,AvgDialog,Content,莉莉,"莉莉……还是想和母亲在一起。
因为…莉莉只有一个母亲，母亲也只有一个莉莉。","Lily... still wants to be with her mother.\nBecause... Lily has only one mother, and mother has only one Lily."
AvgDialog_19076_Content_22,agVV,avg章4_AvgDialog_C_M.csv,29,AvgDialog,Content,莉莉,"母亲也不是自己想要变成这样的。
<Small:母亲失去了重要的东西，她想把重要的东西找回来，所以才……>","Mother didn't want to become like this either.\n<Small:She lost something important and just wants to get it back, so...>"
AvgDialog_19076_Content_23,agVW,avg章4_AvgDialog_C_M.csv,30,AvgDialog,Content,,莉莉的声音越来越小，尾音几乎被呼吸声掩盖。,"Lily's voice grew softer, the final syllables almost drowned out by her breathing."
AvgDialog_19076_Content_24,agVX,avg章4_AvgDialog_C_M.csv,31,AvgDialog,Content,库姆,<SmallShake:嘶——>,<SmallShake:Hiss—>
AvgDialog_19076_Content_25,agVY,avg章4_AvgDialog_C_M.csv,32,AvgDialog,Content,弗朗西斯,你们终于到了。欢迎来到拉伊疗养院。,You've finally arrived. Welcome to Rye Hospital.
AvgDialog_19076_Content_26,agVZ,avg章4_AvgDialog_C_M.csv,33,AvgDialog,Content,弗朗西斯,莉莉，你先跟宁菲亚姐姐去休息吧。,"Lily, you should go rest with Sister Nymphaea first."
AvgDialog_19076_Content_27,agWa,avg章4_AvgDialog_C_M.csv,34,AvgDialog,Content,宁菲亚,"来吧，莉莉。
一路舟车劳顿，你也很疲惫了吧？","Come on, Lily.\nYou must be tired after such a long journey, right?"
AvgDialog_19076_Content_28,agWb,avg章4_AvgDialog_C_M.csv,35,AvgDialog,Content,,莉莉小心地牵过宁菲亚的手，回头望了你一眼，默默走向走廊的尽头。,"Lily carefully takes Nymphaea's hand, looks back at you, and silently walks toward the end of the hallway."
AvgDialog_19076_Content_29,agWc,avg章4_AvgDialog_C_M.csv,36,AvgDialog,Content,弗朗西斯,几位辛苦了，还请允许我正式自我介绍一下。,You've all worked hard. Please allow me to formally introduce myself.
AvgDialog_19076_Content_30,agWe,avg章4_AvgDialog_C_M.csv,37,AvgDialog,Content,弗朗西斯,"我是<Blue:弗朗西斯·奥兹伍德>，这间疗养院的管理者。
这里的人都叫我院长，当然，你们叫我弗朗西斯就好。","I am <Blue:Francis Oswald>, the manager of this sanatorium.\nPeople here call me ""Director,"" but you can simply call me Francis."
AvgDialog_19076_Content_31,agWf,avg章4_AvgDialog_C_M.csv,38,AvgDialog,Content,弗朗西斯,看两位的打扮，你们是学生？还有这位……,"Judging by your outfits, you all are students? And this one..."
AvgDialog_19076_Content_32,agWg,avg章4_AvgDialog_C_M.csv,39,AvgDialog,Content,拉蒙娜,"是的，我们是弥萨格大学的一年级新生。
萝坦……你就当她是我们的随行老师吧。","Yes, we're freshmen at Mythag University.\nLotan... just consider her a professor accompanying us."
AvgDialog_19076_Content_33,agWh,avg章4_AvgDialog_C_M.csv,40,AvgDialog,Content,弗朗西斯,原来如此。真令人怀念啊，学生时光已经离我太遥远，我也远没有那时候那样认真专注，充满信念了。,"I see. That makes me quite nostalgic. My student years are long gone, and I'm no longer as focused and passionate as I was back then."
AvgDialog_19076_Content_34,agWi,avg章4_AvgDialog_C_M.csv,41,AvgDialog,Content,弗朗西斯,你的眼神让我想起了那时候的自己，不过……比起昨晚，今天的你更多了一丝动摇。,"Your eyes remind me of my past self, but... compared to last night, you seem a bit more shaken today."
AvgDialog_19076_Content_35,agWj,avg章4_AvgDialog_C_M.csv,42,AvgDialog,Content,弗朗西斯,"发生什么事了吗？还是说……
你也打开了那不该打开的魔盒？",Did something happen? Or could it be...\nDid you also open the forbidden box?
AvgDialog_19076_Content_36,agWk,avg章4_AvgDialog_C_M.csv,43,AvgDialog,Content,拉蒙娜,……,...
AvgDialog_19076_Content_37,agWl,avg章4_AvgDialog_C_M.csv,44,AvgDialog,Content,拉蒙娜,不敢和奥兹伍德教授相提并论。,I dare not compare myself with Professor Oswald.
AvgDialog_19076_Content_38,agWm,avg章4_AvgDialog_C_M.csv,45,AvgDialog,Content,拉蒙娜,"奥兹伍德教授要是继续投身科研，应该能在医学领域取得更高的成就。
可您却急流勇退，消失在了学界。","If Professor Oswald had continued her research, she might have achieved even greater success in the field of medicine.\nAnd yet, she chose to gracefully step away from academia and vanished from the scholarly world."
AvgDialog_19076_Content_39,agWn,avg章4_AvgDialog_C_M.csv,46,AvgDialog,Content,弗朗西斯,啊，都是些陈年旧事罢了，不值一提。,"Ah, that's just an old story of the past, not something worth mentioning."
AvgDialog_19076_Content_40,agWp,avg章4_AvgDialog_C_M.csv,47,AvgDialog,Content,拉蒙娜,怎么会呢？您可是首支<Blue:艾尔沃斯冰原探险队>的成员。,How could that be? You are a member of the <Blue:Elworth Icefield Expedition>.
AvgDialog_19076_Content_41,agWq,avg章4_AvgDialog_C_M.csv,48,AvgDialog,Content,拉蒙娜,我不禁有些好奇，这间疗养院是怎样聘请到您这样的学者的？,I can't help but wonder how this sanatorium managed to hire a scholar like you?
AvgDialog_19076_Content_42,agWr,avg章4_AvgDialog_C_M.csv,49,AvgDialog,Content,弗朗西斯,比起聘请，我更愿意认为是我选择了这间疗养院。,"Rather than being hired, I prefer to think that I chose this sanatorium."
AvgDialog_19076_Content_43,agWs,avg章4_AvgDialog_C_M.csv,50,AvgDialog,Content,弗朗西斯,"你应该知道的，那次探险的结果与“成功”二字大相径庭。
我是唯一幸存者，而所有其他，都随着探险队员被掩埋在冰雪之下。","You should know, the result of that expedition was far from being considered a ""success.""\nI am the sole survivor; everyone else was buried under the snow along with the other expedition members."
AvgDialog_19076_Content_44,agWt,avg章4_AvgDialog_C_M.csv,51,AvgDialog,Content,弗朗西斯,那次经历深深地改变了我，我开始思考，我们是不是为了所谓的“进步”遗失了更为珍贵的东西，而这个遗失本身，又意味着什么？,"That experience profoundly changed me. I began to wonder if, for the sake of this so-called ""progress,"" we had lost something far more precious. And, what does that loss itself mean?"
AvgDialog_19076_Content_45,agWu,avg章4_AvgDialog_C_M.csv,52,AvgDialog,Content,拉蒙娜,这里就是您的答案吗？,Is this the answer you found?
AvgDialog_19076_Content_46,agWv,avg章4_AvgDialog_C_M.csv,53,AvgDialog,Content,弗朗西斯,每天巡视两圈，和那些被认为“歇斯底里”的人们聊聊天，然后回自己的办公室静心思考一会儿。,"I patrol twice a day, chat with those considered ""hysterical,"" and then return to my office for some quiet reflection."
AvgDialog_19076_Content_47,agWw,avg章4_AvgDialog_C_M.csv,54,AvgDialog,Content,弗朗西斯,相较于那些探索尖峰的疯狂冒险，我还是更喜欢这种生活。,"Compared to the crazy adventures of exploring those peaks, I still prefer this kind of life."
AvgDialog_19076_Content_48,agWx,avg章4_AvgDialog_C_M.csv,55,AvgDialog,Content,玩家,您的胸怀令人动容。,Your generosity is truly touching.
AvgDialog_19076_Content_49,agWy,avg章4_AvgDialog_C_M.csv,56,AvgDialog,Content,弗朗西斯,见笑了，一些表面功夫罢了，无法真正意义上改善他们的生活。,No need to joke; it's merely superficial work that cannot truly improve their lives.
AvgDialog_19076_Content_50,agWA,avg章4_AvgDialog_C_M.csv,57,AvgDialog,Content,拉蒙娜,我不认为这是表面功夫，您为这些饱受歧视的患者提供了安居之所，让他们有了重返日常的希望。,"I don't think your work is merely superficial. You have provided a haven for patients who would otherwise be discriminated against, giving them hope to return to their daily lives."
AvgDialog_19076_Content_51,agWB,avg章4_AvgDialog_C_M.csv,58,AvgDialog,Content,,弗朗西斯不置可否地笑了笑。,Francis smiled noncommittally.
AvgDialog_19076_Content_52,agWC,avg章4_AvgDialog_C_M.csv,59,AvgDialog,Content,弗朗西斯,但愿如此。,Hopefully.
AvgDialog_19076_Content_53,agWD,avg章4_AvgDialog_C_M.csv,60,AvgDialog,Content,弗朗西斯,你们也不是来听我说大道理的，来，我带你们参观参观这间疗养院吧。,"Anyway, you are not here to listen to my lectures. Come, let me show you around the sanatorium."
AvgDialog_19059_Content_1,agMo,avg章4_AvgDialog_C_M.csv,61,AvgDialog,Content,玩家,这里比我想象得安静。,It's quieter here than I imagined.
AvgDialog_19059_Content_2,agMu,avg章4_AvgDialog_C_M.csv,62,AvgDialog,Content,弗朗西斯,"这也是对歇斯底里病人的常见偏见了。
他们大部分时候都是很安静的，像普通人一样。","That is a common misconception about hysteria patients.\nMost of the time they are quiet, just like ordinary people."
AvgDialog_19059_Content_3,agMv,avg章4_AvgDialog_C_M.csv,63,AvgDialog,Content,拉蒙娜,晚上也是吗？,Is that also the case in the evening?
AvgDialog_19059_Content_4,agMw,avg章4_AvgDialog_C_M.csv,64,AvgDialog,Content,弗朗西斯,这就戳到我的痛处了，夜间是投诉的高发时段。,That hits a bit of a sore spot for me; nighttime is the peak time for complaints.
AvgDialog_19059_Content_5,agMx,avg章4_AvgDialog_C_M.csv,65,AvgDialog,Content,弗朗西斯,但我也无法斥责那些可怜的病患。他们大多是被家人们遗弃在这里的，夜晚时常情绪不稳，偷偷哭泣或者病症发作。,"But I can't blame those poor patients, either. Most of them were abandoned here by their families and often become emotionally unstable at night, crying secretly or experiencing episodes."
AvgDialog_19059_Content_6,agMy,avg章4_AvgDialog_C_M.csv,66,AvgDialog,Content,,说着，弗朗西斯推开了面前的病房门。,"As she spoke, Francis pushed open the door to the ward."
AvgDialog_19059_Content_7,agMz,avg章4_AvgDialog_C_M.csv,67,AvgDialog,Content,中年病患,院长，您来啦。,"Director, you're here."
AvgDialog_19059_Content_8,agMA,avg章4_AvgDialog_C_M.csv,68,AvgDialog,Content,弗朗西斯,嗯，大家都还好吗？,Mm. How's everyone doing?
AvgDialog_19059_Content_9,agMB,avg章4_AvgDialog_C_M.csv,69,AvgDialog,Content,年轻病患,我们没什么，但小米娅那边吵着闹着要找院长，已经哭了好一会儿了，您快去看看吧。,"We're fine, but little Mia has been making a fuss and asking for the director. She's been crying for a while now. Please go check on her."
AvgDialog_19059_Content_10,agMp,avg章4_AvgDialog_C_M.csv,70,AvgDialog,Content,弗朗西斯,"我知道了。
抱歉，我这里有紧急情况，接下来只能请你们自行参观了。","I understand.\nApologies, I have an emergency here. Please continue the tour on your own."
AvgDialog_19059_Content_11,agMq,avg章4_AvgDialog_C_M.csv,71,AvgDialog,Content,弗朗西斯,"请随意一些，除了我的办公室，任何地方都可以报我的名字通行。
先失陪了。","Feel free to use my name to gain access to anywhere you need, except for my office.\nExcuse me for now."
AvgDialog_19059_Content_12,agMr,avg章4_AvgDialog_C_M.csv,72,AvgDialog,Content,,弗朗西斯跟着两位病患离去，身影消失在走廊的阴影中。,"Francis followed the two patients, disappearing into the shadows of the corridor."
AvgDialog_19059_Content_13,agMs,avg章4_AvgDialog_C_M.csv,73,AvgDialog,Content,玩家,正好我们可以在这里调查一下。,This is a good opportunity for us to investigate.
AvgDialog_19059_Content_14,agMt,avg章4_AvgDialog_C_M.csv,74,AvgDialog,Content,拉蒙娜,没错。如果库姆的改造是在疗养院里进行的，那这里多少会留下痕迹。,"That's right. If Koum's modifications were carried out here in the sanatorium, there would be some traces left."
AvgDialog_19047_Content_1,agJl,avg章4_AvgDialog_C_M.csv,75,AvgDialog,Content,,你们在拉伊疗养院中询问了几个神智清醒的病人。,You questioned several lucid patients at the Rye Sanatorium.
AvgDialog_19047_Content_2,agJm,avg章4_AvgDialog_C_M.csv,76,AvgDialog,Content,,大家对弗朗西斯的评价都是“看似严厉，实则尽心负责”。,"Everyone's assessment of Francis is that she ""seems strict, but is actually dedicated and responsible."""
AvgDialog_19051_Content_1,agJB,avg章4_AvgDialog_C_M.csv,77,AvgDialog,Content,,"疗养院内虽然破败，陈饰匮乏，但还算整洁干净。
你们转了几圈，除了病人和寻常的医护用品外一无所获。","The sanatorium, despite being rundown and lacking decorations, is still fairly clean.\nYou looked around but found nothing except for patients and common medical supplies."
AvgDialog_19051_Content_2,agJF,avg章4_AvgDialog_C_M.csv,78,AvgDialog,Content,,最终，你们停在“院长办公室 闲人免入”的牌子前。,"Finally, you stop in front of a sign that reads ""Director's Office - Authorized Personnel Only""."
AvgDialog_19051_Content_3,agJG,avg章4_AvgDialog_C_M.csv,79,AvgDialog,Content,拉蒙娜,如果疗养院中藏有什么秘密，也只会在这里了。,"If there are any secrets hidden in this sanatorium, they must be here."
AvgDialog_19051_Content_4,agJH,avg章4_AvgDialog_C_M.csv,80,AvgDialog,Content,萝坦,要不要我帮你们破门？,Do you need me to break down the door for you?
AvgDialog_19051_Content_5,agJI,avg章4_AvgDialog_C_M.csv,81,AvgDialog,Content,拉蒙娜,那倒不用，毕竟——,That's not necessary. After all—
AvgDialog_19051_Content_6,agJJ,avg章4_AvgDialog_C_M.csv,82,AvgDialog,Content,,她握住门把轻轻一拧，门应声而开。,"She gently turned the doorknob, and the door opened with a soft click."
AvgDialog_19051_Content_7,agJK,avg章4_AvgDialog_C_M.csv,83,AvgDialog,Content,玩家,没锁？,Was it not locked?
AvgDialog_19051_Content_8,agJL,avg章4_AvgDialog_C_M.csv,84,AvgDialog,Content,拉蒙娜,相信我，我也和你一样惊讶。,"Trust me, I'm just as surprised as you are."
AvgDialog_19051_Content_9,agJM,avg章4_AvgDialog_C_M.csv,85,AvgDialog,Content,,进去吧。,Let's go in.
AvgDialog_19051_Content_10,agJC,avg章4_AvgDialog_C_M.csv,86,AvgDialog,Content,,风险是不可避免的。,Risk is inevitable.
AvgDialog_19051_Content_11,agJD,avg章4_AvgDialog_C_M.csv,87,AvgDialog,Content,,拉蒙娜依言，推开阴冷压抑的沉重木门。,"Following Ramona's words, she pushed open the heavy, cold, and oppressive wooden door."
AvgDialog_19051_Content_12,agJE,avg章4_AvgDialog_C_M.csv,88,AvgDialog,Content,,阴冷的风自门内涌出，一个半人高的身影紧随其后，嘶叫着扑了出来。,"A cold wind surged from behind the door, followed by a figure half the size of a human, screeching as it lunged out."
AvgDialog_19056_Content_1,agLe,avg章4_AvgDialog_C_M.csv,89,AvgDialog,Content,,你们击退了诡异的怪物，咚咚的急促脚步声在走廊中响起，办公室大门被从外推开。,"You repelled the eerie monsters. The sound of rapid footsteps echoed in the corridor, and the office door was pushed open from the outside."
AvgDialog_19056_Content_2,agLp,avg章4_AvgDialog_C_M.csv,90,AvgDialog,Content,弗朗西斯,米娅！,Mia!
AvgDialog_19056_Content_3,agLz,avg章4_AvgDialog_C_M.csv,91,AvgDialog,Content,米娅,吼——,Roar—
AvgDialog_19056_Content_4,agLA,avg章4_AvgDialog_C_M.csv,92,AvgDialog,Content,弗朗西斯,我就说怎么在哪里都找不到你，原来你跑到这里来了。快跟我——,I was wondering why I couldn't find you anywhere. It turns out you came here. Come with me—
AvgDialog_19056_Content_5,agLB,avg章4_AvgDialog_C_M.csv,93,AvgDialog,Content,,注意到你们，弗朗西斯止住话头。,"Noticing you, Francis stopped talking."
AvgDialog_19056_Content_6,agLC,avg章4_AvgDialog_C_M.csv,94,AvgDialog,Content,弗朗西斯,我好像提醒过两位，办公室是禁止参观的吧。,I believe I've already reminded you two that my office is off-limits for visiting.
AvgDialog_19056_Content_7,agLD,avg章4_AvgDialog_C_M.csv,95,AvgDialog,Content,拉蒙娜,很抱歉，但“参观”恐怕就到此为止了。,"Sorry, but the ""visit"" probably ends here."
AvgDialog_19056_Content_8,agLE,avg章4_AvgDialog_C_M.csv,96,AvgDialog,Content,拉蒙娜,根据《协定》81条，条目A，未经<Blue:密斯底亚协定审查会>审核授权，任何个体、组织、机构不得对任何人类或未知存在个体进行实验。,"As per Article 81, Clause A of the <Blue:Mystia Treaty Committee>, no individual, organization, or institution may conduct experiments on any human or unknown entity without authorization."
AvgDialog_19056_Content_9,agLF,avg章4_AvgDialog_C_M.csv,97,AvgDialog,Content,拉蒙娜,现在我们怀疑疗养院中存在人体改造活动，并已经联系了<Blue:审查会>，他们会对疗养院进行封锁，还请你配合。,We now suspect human modification activities are taking place in this sanatorium and have contacted <Blue:the Committee>. They will seal off the sanatorium. Please cooperate.
AvgDialog_19056_Content_10,agLf,avg章4_AvgDialog_C_M.csv,98,AvgDialog,Content,,完全出乎你的意料，拉蒙娜发起了直接的进攻。,"To your complete surprise, Ramona launched a direct attack."
AvgDialog_19056_Content_11,agLg,avg章4_AvgDialog_C_M.csv,99,AvgDialog,Content,,弗朗西斯镇定自若地侧头，似乎完全没有被拉蒙娜的攻势命中。,"Francis calmly tilted her head, seemingly completely unaffected by Ramona's attack."
AvgDialog_19056_Content_12,agLh,avg章4_AvgDialog_C_M.csv,100,AvgDialog,Content,弗朗西斯,人体改造？只怕是误会了吧。,Human modification? That must be a misunderstanding.
AvgDialog_19056_Content_13,agLi,avg章4_AvgDialog_C_M.csv,101,AvgDialog,Content,弗朗西斯,这疗养院一共只有两层，合计不超过二十个房间。作为院长，我每天都会进行巡视，如果有人进行非法实验，我不会不知道。,"This sanatorium has only two floors, with no more than twenty rooms in total. As the director, I patrol every day. If any illegal experiments were being conducted, I would definitely know."
AvgDialog_19056_Content_14,agLj,avg章4_AvgDialog_C_M.csv,102,AvgDialog,Content,,拉蒙娜皱眉。,Ramona frowned.
AvgDialog_19056_Content_15,agLk,avg章4_AvgDialog_C_M.csv,103,AvgDialog,Content,拉蒙娜,"自己是不能做自己的证人的，女士，这点你不会不清楚。
更何况，我们身边还有不少对你不利的证据。","You cannot be your own witness, ma'am. You must be aware of that.\nMoreover, we have substantial evidence against you."
AvgDialog_19056_Content_16,agLl,avg章4_AvgDialog_C_M.csv,104,AvgDialog,Content,拉蒙娜,这位“米娅”……只怕您对她进行了不少手术吧？,"This ""Mia""... I suppose you've performed quite a few surgeries on her, haven't you?"
AvgDialog_19056_Content_17,agLm,avg章4_AvgDialog_C_M.csv,105,AvgDialog,Content,萝坦,"还有莉莉。
你既自称她的母亲，就不可能对她不是人类这件事一无所知。","And there's Lily.\nSince you claim to be her mother, you couldn't possibly be unaware that she isn't human."
AvgDialog_19056_Content_18,agLn,avg章4_AvgDialog_C_M.csv,106,AvgDialog,Content,,弗朗西斯微微一愣，哑然失笑。,"Francis was slightly taken aback, then let out a wry laugh."
AvgDialog_19056_Content_19,agLo,avg章4_AvgDialog_C_M.csv,107,AvgDialog,Content,弗朗西斯,各位怕是真的误会了。莉莉叫我一声母亲，可我未必是她的生母。,"You must have misunderstood. Lily calls me ""Mother,"" but I am not her biological mother."
AvgDialog_19056_Content_20,agLq,avg章4_AvgDialog_C_M.csv,108,AvgDialog,Content,弗朗西斯,她是我从贼窝解救回来的孤儿，身上的异常都是拜最初绑走她的恶徒所赐。,"She is an orphan I rescued from a bandit's lair, and her abnormalities are due to the villains who first abducted her."
AvgDialog_19056_Content_21,agLr,avg章4_AvgDialog_C_M.csv,109,AvgDialog,Content,弗朗西斯,至于库姆和米娅，它们是莉莉从外面捡来的，具体来处连我也不知道。,"As for Koum and Mia, Lily picked them up from outside. Even I don't know where they came from."
AvgDialog_19056_Content_22,agLs,avg章4_AvgDialog_C_M.csv,110,AvgDialog,Content,弗朗西斯,当然，一般人看到库姆和米娅的样子，不说心生畏惧，至少也会谨慎以待，将它们与孩子隔离开来。,"Naturally, most people, upon seeing Koum and Mia, would at least exercise caution and keep them away from children; if not feel outright intimidated."
AvgDialog_19056_Content_23,agLt,avg章4_AvgDialog_C_M.csv,111,AvgDialog,Content,弗朗西斯,但年轻时我曾有一段“奇遇”，见识过一些常人闻所未闻的奇观。,"But in my youth, I had a ""remarkable adventure"" and witnessed marvels rarely heard of by ordinary people."
AvgDialog_19056_Content_24,agLu,avg章4_AvgDialog_C_M.csv,112,AvgDialog,Content,弗朗西斯,因此尽管库姆看上去有些……非同寻常，但看在莉莉喜欢它的份上，我也就留下了它。毕竟，它是莉莉好不容易找到的伙伴。,"Thus, even though Koum seems a bit... unusual, I kept it for Lily's sake. After all, it's a companion she found with great effort."
AvgDialog_19056_Content_25,agLv,avg章4_AvgDialog_C_M.csv,113,AvgDialog,Content,弗朗西斯,这孩子本身就与其他人之间存在很深的隔阂，我怎么忍心分开他们呢？,How could I bear to separate this child from them when she already has such a deep gap with other people?
AvgDialog_19056_Content_26,agLw,avg章4_AvgDialog_C_M.csv,114,AvgDialog,Content,拉蒙娜,……,...
AvgDialog_19056_Content_27,agLx,avg章4_AvgDialog_C_M.csv,115,AvgDialog,Content,弗朗西斯,如果这还不能打消你们的疑虑的话，我可以再陪各位在疗养院里检查一遍，包括我的办公室。,"If that doesn't alleviate your concerns, I can accompany you on another inspection of the sanatorium, including my office."
AvgDialog_19056_Content_28,agLy,avg章4_AvgDialog_C_M.csv,116,AvgDialog,Content,弗朗西斯,放心吧，在审查会来之前，我哪儿也不会去。,"Don't worry, I'm not going anywhere before the Committee arrives."
AvgDialog_19043_Content_1,agHc,avg章4_AvgDialog_C_M.csv,117,AvgDialog,Content,,飞越疯人院,One Flew Over the Cuckoo's Nest
AvgDialog_19043_Content_2,agHn,avg章4_AvgDialog_C_M.csv,118,AvgDialog,Content,,时间一分一秒过去。你们把弗朗西斯留在原地，转身将疗养院翻了个遍——没有暗门，没有机关，没有隐藏房间。,"Time ticks away. You leave Francis behind and turn the sanatorium upside down—no secret doors, no mechanisms, no hidden rooms."
AvgDialog_19043_Content_3,agHy,avg章4_AvgDialog_C_M.csv,119,AvgDialog,Content,,就连那间禁止进入的办公室内，都没有任何异常。,"Even in that office that was off-limits, there was nothing unusual."
AvgDialog_19043_Content_4,agHJ,avg章4_AvgDialog_C_M.csv,120,AvgDialog,Content,,拉蒙娜的额上开始渗出细密的汗珠。,Ramona's forehead began to bead with sweat.
AvgDialog_19043_Content_5,agHU,avg章4_AvgDialog_C_M.csv,121,AvgDialog,Content,玩家,拉蒙娜，审查会有说什么时候来人吗？,"Ramona, did the Committee say when someone would come?"
AvgDialog_19043_Content_6,agHY,avg章4_AvgDialog_C_M.csv,122,AvgDialog,Content,拉蒙娜,……我和你一直呆在一起，你有看到我通知任何人吗？,...I've been with you the whole time. Have you seen me notify anyone?
AvgDialog_19043_Content_7,agHZ,avg章4_AvgDialog_C_M.csv,123,AvgDialog,Content,玩家,没——你是骗她的？！,No—You were lying to her?!
AvgDialog_19043_Content_8,agIa,avg章4_AvgDialog_C_M.csv,124,AvgDialog,Content,拉蒙娜,我原以为可以诈出点什么，但她没有露出一点破绽。,"I thought I could bluff something out of her, but she didn't show any flaws."
AvgDialog_19043_Content_9,agIb,avg章4_AvgDialog_C_M.csv,125,AvgDialog,Content,萝坦,刚才搜查的时候我留意了一下，这里连一点融蚀痕迹都没有。,"During the search just now, I noticed that there aren't even any traces of dissolution here."
